"name","type","id","date_established","detail_page_url","acreage"
"Saguaro","park","saguaro","1994-10-14T05:00:00.000Z","https://en.wikipedia.org/wiki/Saguaro_National_Park",91715.72
"Sequoia","park","sequoia","1890-09-25T05:00:00.000Z","https://en.wikipedia.org/wiki/Sequoia_National_Park",404062.63
"Shenandoah","park","shenandoah","1935-12-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Shenandoah_National_Park",199217.77
"Theodore Roosevelt","park","theodoreroosevelt","1978-11-10T06:00:00.000Z","https://en.wikipedia.org/wiki/Theodore_Roosevelt_National_Park",70446.89
"Voyageurs","park","voyageurs","1971-01-08T06:00:00.000Z","https://en.wikipedia.org/wiki/Voyageurs_National_Park",218200.15
"Wind Cave","park","windcave","1903-01-09T06:00:00.000Z","https://en.wikipedia.org/wiki/Wind_Cave_National_Park",33970.84
"Wrangell–St. Elias","park","wrangellstelias","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve",8323146.48
"Yellowstone","park","yellowstone","1872-03-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Yellowstone_National_Park",2219790.71
"Yosemite","park","yosemite","1890-10-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Yosemite_National_Park",761747.5
"Zion","park","zion","1919-11-19T06:00:00.000Z","https://en.wikipedia.org/wiki/Zion_National_Park",147237.02
"Agate Fossil Beds","monument","agatefossilbeds","1997-06-14T05:00:00.000Z","https://en.wikipedia.org/wiki/Agate_Fossil_Beds_National_Monument",11617
"Aniakchak","monument","aniakchak","1978-12-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Aniakchak_National_Monument_and_Preserve",2100
"Hagerman Fossil Beds","monument","hagermanfossilbeds","1988-11-18T06:00:00.000Z","https://en.wikipedia.org/wiki/Hagerman_Fossil_Beds_National_Monument",4351
"Fort Pulaski","monument","fortpulaski","1924-10-15T05:00:00.000Z","https://en.wikipedia.org/wiki/Fort_Pulaski_National_Monument",260
"Colorado","monument","colorado","1911-05-24T05:00:00.000Z","https://en.wikipedia.org/wiki/Colorado_National_Monument",20533
"Chiricahua","monument","chiricahua","1924-04-18T05:00:00.000Z","https://en.wikipedia.org/wiki/Chiricahua_National_Monument",11984
"Walnut Canyon","monument","walnutcanyon","1915-11-30T06:00:00.000Z","https://en.wikipedia.org/wiki/Walnut_Canyon_National_Monument",2249.5
"Craters of the Moon","monument","cratersofthemoon","1924-05-02T05:00:00.000Z","https://en.wikipedia.org/wiki/Craters_of_the_Moon_National_Monument_and_Preserve",464303
"Fossil Butte","monument","fossilbutte","1972-10-23T05:00:00.000Z","https://en.wikipedia.org/wiki/Fossil_Butte_National_Monument",8198
"Natural Bridges","monument","naturalbridges","1908-04-16T05:00:00.000Z","https://en.wikipedia.org/wiki/Natural_Bridges_National_Monument",7636
"El Malpais","monument","elmalpais","1987-12-31T06:00:00.000Z","https://en.wikipedia.org/wiki/El_Malpais_National_Monument",114276
"Dinosaur","monument","dinosaur","1915-10-04T05:00:00.000Z","https://en.wikipedia.org/wiki/Dinosaur_National_Monument",210844
"White Sands","monument","whitesands","1933-01-18T06:00:00.000Z","https://en.wikipedia.org/wiki/White_Sands_National_Monument",143733
"Canyon de Chelly","monument","canyondechelly","1931-04-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Canyon_de_Chelly_National_Monument",83840
