"id","name","type","date_established","acreage","detail_page_url"
"olympic","Olympic","park","1938-06-29T05:00:00.000Z",922650.1,"https://en.wikipedia.org/wiki/Olympic_National_Park"
"petrified-forest","Petrified Forest","park","1962-12-09T06:00:00.000Z",221415.77,"https://en.wikipedia.org/wiki/Petrified_Forest_National_Park"
"pinnacles","Pinnacles","park","2013-01-10T06:00:00.000Z",26685.73,"https://en.wikipedia.org/wiki/Pinnacles_National_Park"
"redwood","Redwood","park","1968-10-02T05:00:00.000Z",138999.37,"https://en.wikipedia.org/wiki/Redwood_National_and_State_Parks"
"rocky-mountain","Rocky Mountain","park","1915-01-26T06:00:00.000Z",265795.2,"https://en.wikipedia.org/wiki/Rocky_Mountain_National_Park"
"saguaro","Saguaro","park","1994-10-14T05:00:00.000Z",91715.72,"https://en.wikipedia.org/wiki/Saguaro_National_Park"
"sequoia","Sequoia","park","1890-09-25T05:00:00.000Z",404062.63,"https://en.wikipedia.org/wiki/Sequoia_National_Park"
"shenandoah","Shenandoah","park","1935-12-26T06:00:00.000Z",199195.27,"https://en.wikipedia.org/wiki/Shenandoah_National_Park"
"theodore-roosevelt","Theodore Roosevelt","park","1978-11-10T06:00:00.000Z",70446.89,"https://en.wikipedia.org/wiki/Theodore_Roosevelt_National_Park"
"virgin-islands","Virgin Islands","park","1956-08-02T05:00:00.000Z",14948.46,"https://en.wikipedia.org/wiki/Virgin_Islands_National_Park"
"voyageurs","Voyageurs","park","1971-01-08T06:00:00.000Z",218200.15,"https://en.wikipedia.org/wiki/Voyageurs_National_Park"
"wind-cave","Wind Cave","park","1903-01-09T06:00:00.000Z",33970.84,"https://en.wikipedia.org/wiki/Wind_Cave_National_Park"
"wrangell–st. elias","Wrangell–St. Elias","park","1980-12-02T06:00:00.000Z",8323146.48,"https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve"
"yellowstone","Yellowstone","park","1872-03-01T06:00:00.000Z",2219790.71,"https://en.wikipedia.org/wiki/Yellowstone_National_Park"
"yosemite","Yosemite","park","1890-10-01T05:00:00.000Z",761747.5,"https://en.wikipedia.org/wiki/Yosemite_National_Park"
"zion","Zion","park","1919-11-19T06:00:00.000Z",147237.02,"https://en.wikipedia.org/wiki/Zion_National_Park"
"agua-fria","Agua Fria","monument","2000-01-11T06:00:00.000Z",72344,"https://en.wikipedia.org/wiki/Agua_Fria_National_Monument"
"buck-island-reef","Buck Island Reef","monument","1961-12-28T06:00:00.000Z",880,"https://en.wikipedia.org/wiki/Buck_Island_Reef_National_Monument"
"capulin-volcano","Capulin Volcano","monument","1916-08-09T05:00:00.000Z",793,"https://en.wikipedia.org/wiki/Capulin_Volcano_National_Monument"
"aztec-ruins","Aztec Ruins","monument","1923-01-24T06:00:00.000Z",318,"https://en.wikipedia.org/wiki/Aztec_Ruins_National_Monument"
